,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,VG_nan
571,1,10.9,19.4,2.8,1007.5,55,0.51,16.1,12.0,20.6,42.4,0,0,0,0,1
271,0,30.2,36.1,24.4,1015.1,60,0.0,16.1,13.5,20.6,42.4,0,0,1,0,1
398,1,2.6,10.0,-6.7,1029.5,72,1.27,8.2,8.0,18.3,42.4,1,1,0,0,1
474,1,30.4,34.4,24.0,1019.9,62,0.0,16.1,10.6,35.2,63.0,1,0,1,0,0
31,1,2.7,7.8,-5.0,1027.1,65,0.0,16.1,13.0,20.6,42.4,0,0,0,0,1
504,1,24.1,31.7,17.2,1019.9,66,0.0,16.1,10.7,20.6,42.4,0,0,0,0,1
65,1,15.9,20.6,12.2,1020.3,72,0.0,16.1,11.3,25.9,37.0,0,0,0,0,0
996,1,22.6,25.6,20.6,1019.4,69,0.0,16.1,21.1,27.8,40.7,1,0,0,0,0
161,0,12.2,16.7,1.1,1014.8,68,0.0,16.1,5.6,13.0,42.4,0,0,0,0,1
1096,0,18.4,25.0,11.1,1014.1,75,0.25,15.4,17.8,35.2,48.2,1,0,0,0,0
1210,1,21.9,27.8,17.8,1024.2,81,0.0,7.7,5.0,16.5,42.4,0,0,0,1,1
968,1,26.9,31.1,16.7,1011.4,71,0.0,16.1,15.9,29.4,44.6,0,0,0,0,0
